smiles,elastic_modulus_ave
*C(C*)c1ccc(cc1)Br,2.7392939999999997
*C(C*)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,3.2803060000000004
*C(C*)c1ccc(cc1)C(=NO)C,3.843545333333333
*C(C*)c1ccc(cc1)C(O)(C)C,4.440959
*C(C*)c1ccc(cc1)C(CC)(O)C,3.6717743333333335
*C(C*)c1ccc(cc1)C(CCC)(O)C,3.3001273333333336
*C(C*)c1ccc(cc1)C(CCCC)(O)C,4.262792666666666
*C(C*)c1ccc(cc1)C(CCCCC)(O)C,4.147260666666666
*C(C*)c1ccc(cc1)C(CCN(C)C)O,3.61931
*C(C*)c1ccc(cc1)C(CCN1CCCCC1)O,4.790386000000001
*C(C*)c1ccc(cc1)C(CCN1CCOCC1)O,4.0469523333333335
*C(C*)c1ccc(cc1)COC,3.601993
*C(C*)c1ccc(cc1)COCCO,4.907677
*C(C*)c1ccc(cc1)COCCC,3.7976326666666673
*C(C*)c1ccc(cc1)COCCCC,4.038674333333333
*C(C*)c1ccc(cc1)COC(CC)C,3.629443666666666
*C(C*)c1ccc(cc1)COCCCCCC,3.523346333333333
*C(C*)c1ccc(cc1)COCCOCCCC,3.3192630000000003
*C(C*)c1ccc(cc1)C(=O)N(C)C,2.878705
*C(C*)c1ccc(cc1)C(=O)N(CC)CC,3.9343806666666663
*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,3.645248
*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,3.878237666666667
*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,3.197064666666667
*C(C*)c1ccc(cc1)C(=O)OC,2.5160576666666667
*C(C*)c1ccc(cc1)C(=O)OCC,3.0004443333333337
*C(C*)c1ccc(cc1)C(=O)OCCC,3.5657566666666662
*C(C*)c1ccc(cc1)C(=O)OC(C)C,3.5375233333333327
*C(C*)c1ccc(cc1)C(=O)OCCCC,3.9917613333333337
*C(C*)c1ccc(cc1)C(=O)OCC(C)C,3.1542526666666664
*C(C*)c1ccc(cc1)C(=O)OCCCCCC,3.270628666666667
*C(C*)c1ccc(cc1)C(=O)CC,3.3675376666666663
*C(C*)c1ccc(cc1)C(=O)CCC,3.530825
*C(C*)c1ccc(cc1)C(=O)CCCC,3.8277449999999993
*C(C*)c1ccc(cc1)C(=O)CCCCC,2.943101
*C(C*)c1ccc(cc1)C(=O)CCCCCCC,3.1934389999999997
*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,3.1919999999999997
*C(C*)c1ccc(cc1)C(=O)c1ccccc1,3.6236166666666665
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,2.4616446666666665
*C(C*)c1ccc(cc1)F,2.6163003333333332
*C(C*)c1ccc(cc1)I,2.47203
*C(C*)c1ccc(cc1)N(C)C,3.609255
*C(C*)c1ccc(cc1)OC,2.669738333333333
*C(C*)c1ccc(cc1)OCC,2.954785
*C(C*)c1ccc(cc1)OCCC,3.6660943333333336
*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,4.686293333333333
*C(C*)c1c(cccc1Cl)Cl,3.445213
*C(C*)c1c(cc(cc1)C)C,2.6421596666666667
*C(C*)c1c(cc(cc1)C(C)C)C(C)C,3.2257460000000004
*C(C*)c1c(cc(cc1)F)C,2.888834
*C(C*)c1c(cc(cc1)Cl)C,2.2516743333333333
*C(C*)c1c(cc(cc1)Cl)Cl,2.510633
*C(C*)c1c(ccc(c1)C)C,3.3905653333333334
*C(C*)c1c(ccc(c1)C(C)(C)C)C,3.732760666666666
*C(C*)c1c(ccc(c1)C(C)C)C(C)C,2.9238623333333336
*C(C*)c1c(ccc(c1)Cl)Cl,2.8247463333333336
*C(C*)c1c(ccc(c1)F)F,3.6694693333333337
*C(C*)c1c(ccc(c1)C)F,3.2092783333333337
*C(C*)c1c(ccc(c1)Br)OCCCC,3.752005
*C(C*)c1c(ccc(c1)Br)OCC,2.735423666666667
*C(C*)c1c(ccc(c1)Br)OC,2.819921
*C(C*)c1c(ccc(c1)Br)OCCC,3.585391333333334
*C(C*)c1c(ccc(c1)Br)OC(C)C,3.1584616666666667
*C(C*)c1c(ccc(c1)Br)OCCCCC,3.501551333333333
*C(C*)c1c(ccc(c1)Br)OCCC(C)C,3.437422
*C(C*)c1cc(cc(c1)C)C,3.289415
*C(C*)c1cc(c(cc1)C)C,2.750507333333333
*C(C*)c1cc(c(cc1)Cl)C,2.5719776666666667
*C(C*)c1cc(c(cc1)Cl)Cl,2.5003200000000003
*C(C*)c1cc(c(cc1)Cl)F,2.294457
*C(C*)c1c(cc(cc1C)C)C,3.0308653333333333
*C(C*)c1c(cc(c(c1)C)C)C,3.04013
*C(C*)c1c(c(c(c(c1F)F)F)F)F,3.363744666666667
*C(C*)(c1ccccc1)C,3.311119333333333
*C(C*)(c1ccc(cc1)C(C)C)C,4.083041
*C(C(*)(F)F)(c1ccccc1)F,3.20139
*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,2.679793333333333
*C(C*)c1c2c(ccc1)cccc2,3.5855556666666666
*C(C*)c1ccc(cc1)C(=O)C,3.254441333333333
*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,3.137391666666667
*C(C*)(C(=O)OC)c1ccccc1,3.806755666666666
*C(C*)(c1ccc(cc1)C)C,2.899934
